Hybridization REF	TCGA-C8-A12T-01A-11R-A115-07
SRGAP1	1.22716666666667
VIP	-0.2425
DUSP27	0.6265
LILRA1	1.1934
MC2R	0.729
MGC24103	-2.42225
MBTD1	-1.2415
FUT11	-0.269666666666667
USP33	0.637
C15orf39	-0.55375
MAP3K12	-0.275125
PAAF1	0.271166666666667
BARHL1	0.203
FLJ16165	0.2495
PIWIL2	-2.84475
SYNE1	0.731916666666667
CMTM4	1.460125
TSPYL1	1.3965
GUF1	-0.266166666666667
TMEM157	0.9305
WDR44	0.073
HIST1H3C	0.05425
DKFZp666G057	1.781
RNPEP	0.63925
GAS2L2	0.111666666666667
ADH4	-5.7565
GRPR	3.09516666666667
FBXL17	-1.51425
ZBTB10	0.73375
Gcom1	0.478055555555555
HTRA1	1.9994
ZNF585A	-0.223833333333333
SLC26A2	0.572
OTOP3	0.0341666666666666
WISP1	3.11488888888889
ATP2B4	-0.411
FLJ10769	0.41825
CRAMP1L	0.385875
CHST12	-1.139
RAB22A	1.05775
TARDBP	-0.276428571428571
STAU1	-0.5965
CRB3	1.44183333333333
MIG7	-0.83425
CHMP1A	-0.358833333333333
ZNF160	1.640625
B3GALT6	0.028625
BARX1	-1.87733333333333
C6orf167	-0.6380625
NXNL1	0.349
DHX29	0.199
HADHB	-0.5105
PLXNB2	0.933
ILDR1	-1.5855
SLC15A3	2.131
GAS2	-3.30983333333333
C20orf69	-0.78125
NUMB	0.27275
TNIP1	0.352625
MESP1	-0.911666666666667
PSKH1	0.53075
NSFL1C	0.40575
RHOG	-0.028
HEY1	-1.8875
KNG1	-2.09
ITGAX	2.2785
LIN9	-0.645166666666667
CANT1	1.345625
XRN1	0.283785714285714
CCDC96	1.2079
HEATR6	-1.0355
GNG7	0.599916666666667
RUNX2	1.47225
SOX1	-0.450666666666667
FCRL5	0.2516
ZNF99	0.334125
FAM9A	0.161
SNX22	0.403166666666667
MBNL3	-1.4535
ODC1	-2.5561
ADORA2B	-2.80166666666667
NR2F6	0.51325
ZFYVE16	0.506166666666667
SYNJ2BP	0.602
POLE	-0.718875
E2F2	0.1545
THRA	-0.3575
PTGES2	-0.5915
HIP1R	0.127333333333333
TMUB1	-1.09483333333333
ENO3	-2.57625
RSPH10B	-0.0745
CXorf39	0.30525
IRGC	0.49075
GPR109B	-0.394
FLJ13305	-0.18
LCE3A	0.4995
TNFRSF18	-1.24333333333333
DET1	0.61575
TRPM3	-0.293833333333333
C16orf79	-1.8375
FECH	0.714333333333333
RAP2A	0.264166666666667
CRIP1	0.623166666666667
AZIN1	1.359
SLC7A7	3.389
IL10RA	0.5317
TMEM64	-2.1435
CDC42EP4	1.0169
C16orf58	-0.3494
ARG2	-2.75275
POU5F1P4	-4.2925
FAM62B	0.280875
DNAH8	-2.2716
ASH2L	-0.01225
TSLP	-3.84666666666667
CNTNAP5	-0.551833333333333
TMEM16C	-0.65625
IFNA14	0.1785
SLC1A3	0.4845
CABYR	1.116
BCL7B	0.0108
NUDT13	-1.53166666666667
C13orf28	0.12475
C1orf53	-0.576
ARL6IP4	-0.0595
RPL35A	-0.2055
EMR3	0.59675
RAB40C	0.854
SLC41A1	-0.943166666666667
LRCH1	0.55425
LY6G5B	-0.6555
FAM124A	-0.612357142857143
MGC10981	-4.131
CLIP3	0.4617
MAP4K2	0.2295
CHIC1	-0.09025
SULF1	5.1095
C20orf30	0.332357142857143
PRDM5	-0.273625
ELOVL1	0.5545
C11orf48	-0.845625
SLC39A10	-0.18625
KCNV1	-0.103
ACP1	-0.322
ZMYM2	-0.5075
B3GNT6	-0.334833333333333
C9orf69	-0.457
C2orf15	1.3535
C20orf166	0.233
HSP90AA6P	0.8105
EDG7	-0.3895
NEURL	1.41325
LPL	-0.4715
CLEC2D	0.0148571428571429
GRRP1	1.124
CD8B	-3.0214
HIST1H3D	-0.879
SLC6A12	0.775125
FAM27L	0.0475
CD84	2.4201
RASA1	0.3835
PHKG1	-0.1665
MAGEA11	-1.568
IMPA1	-0.8308
NPM3	-0.67525
RARRES1	2.9145
SH3BP1	-0.423625
B3GNTL1	-0.1035
ARPC5L	-0.5395
KLHL26	0.35475
SIM2	-0.499625
GJC1	0.0605
C20orf194	0.22325
EXO1	-1.627
SLC2A2	-2.92683333333333
LOC285074	0.07925
LRG1	-0.596
KIRREL	0.3575
PIK3R1	1.94392857142857
C4orf34	1.6165
MAF	-1.66661111111111
ADCY4	3.221
ZMIZ2	-0.097
SLC46A3	2.43216666666667
STAMBP	0.374666666666667
CCDC16	0.29
MS4A12	0.83
TCF20	0.2795
LRRC46	1.34675
C20orf152	2.5775
MRPS6	-0.130125
ABCB11	-0.2475
KCNC2	-0.0991666666666667
CDH19	-3.62883333333333
C9orf123	0.144166666666667
SSH3	0.776625
LDLRAD1	-3.32875
CCBE1	0.43375
ZNF135	2.907125
TAAR1	-0.4635
WFDC12	0.005
CCDC42	0.027
FLJ12529	0.44775
PER1	-1.03516666666667
TIMM50	-0.773
SMARCAD1	-0.713
FAM26C	0.4915
TP53TG3	-1.9075
SH3RF1	1.8924
LMCD1	2.25725
GPR63	-0.7045
FLJ21986	-2.258875
AIFM3	-0.3545
MICAL1	-0.9405
BLZF1	1.02183333333333
IQCA	1.55133333333333
PCDHGC3	-0.9805
SAC	0.009
BCL6B	2.021
DDO	1.3805
MARCO	3.78975
DCHS1	1.10383333333333
C1orf170	0.0938333333333333
CD200R1	0.976833333333333
C22orf15	-0.6765
SEPT11	0.115166666666667
ADNP	1.1455
UST	-0.3197
C13orf34	-0.8195
RFFL	-0.124428571428571
APBA3	-0.092
C2orf60	-0.488125
CUTL1	-0.1314
PMS1	-0.1695
ZNF689	2.5425
EIF3E	0.0188333333333333
IL9	0.358666666666667
RPL31	0.417125
LY9	0.2505
ATP2B3	0.34975
KDELR2	-0.0144166666666667
TFCP2	0.530875
NLRP12	0.906625
FLJ45422	-0.8385
TLE4	-0.9124
ZNF570	0.424
FLJ43806	-0.768
TLK2	-0.05475
CIR	0.05525
MARS2	0.4855
COL24A1	1.82275
SDF2L1	-1.4565
HIBADH	-0.0348333333333333
IGFBP3	-1.56821428571429
C12orf23	0.036
PSPC1	0.08125
C20orf43	1.21775
TRAV20	0.9035
ARHGAP24	1.119875
KIAA1975	0.6075
C1QA	3.1262
DNTT	-5.297
C10orf6	0.52075
C11orf41	1.09675
HNRPF	0.4925
COL11A1	7.3045
UBAP2	-0.214666666666667
CDKN2AIPNL	-1.4775
C20orf174	2.5825
SPRED2	0.60725
PLA2G12A	0.210333333333333
ICEBERG	-1.79683333333333
SCN10A	0.073
C11orf65	-0.0745
GBP5	4.72725
PITPNC1	-0.873333333333333
POU3F3	-1.252
NCOA7	-1.023125
LIN7C	0.2631
LOC348840	-1.2825
NKX2-2	-3.03575
ANKRD13D	-0.448375
LOC123688	0.1235
FUT2	1.49916666666667
TAAR8	0.611
FZD4	-0.544166666666667
PNMA3	-0.890166666666667
OR4L1	0.5155
WIT1	-1.65575
EXOC3L	1.14325
ATPBD4	-0.3216
KRBA1	-0.57775
UBXD6	0.7875
HOXB7	-0.533
C7orf23	-1.023
UNQ338	1.2935
STAB2	0.53525
CDC20B	-0.04575
IRF9	2.22775
CENTG1	0.333083333333333
TNPO2	-1.3205
MCPH1	0.944625
BMS1P5	-1.5475
SLC26A7	0.233666666666667
HIST1H3J	0.382
C9orf3	0.3304
LBH	0.980625
MYO1D	0.579
PTDSS2	-0.404
NFU1	-0.27525
DEPDC4	-0.9705
WNT7B	2.4539
GLP2R	-0.204666666666667
SETD4	-0.7217
DYNLT3	-0.108
FKBP11	-0.681
SESTD1	0.0813333333333333
FLII	0.681
RPS16	-0.7084
CHPF	0.561
CSNK2A1	-0.0498333333333333
SUMO1P1	-0.3925
FKBP6	-1.7415
ZNF214	1.3165
TWIST1	1.044
DDX56	-0.466166666666667
TRAM1L1	1.8182
EPO	-0.788833333333333
MRPS18B	-0.9225
ZNF682	-0.0436666666666667
RPL14	0.4825
MAFF	0.0305
LOC51136	-0.340125
LY96	0.23
DDX20	-0.05025
ABTB1	0.0178333333333333
ARL5A	-0.2602
CCT6A	-0.58875
HEPACAM	-1.8665
EHHADH	-0.2005
RBAK	1.08783333333333
CGB1	0.69475
ITGB5	1.3686
YIPF3	0.3225
FKBP2	-0.23325
NR1D1	-0.3958
TMEM110	0.8025
NEK2	-0.689333333333333
PRAMEF8	-3.088
C20orf52	-0.810166666666667
PCDHGA3	-0.608
VWA3B	0.347
NDUFA5	-0.06525
THAP9	0.33225
FLVCR2	0.875333333333333
AP1S1	-1.908375
SMAD6	-0.62725
SAV1	0.287625
SAT1	0.85225
ZNF251	1.49975
ADAMTS7	-0.3136
RPP38	0.04575
C1orf211	-2.2815
YPEL2	0.7921
RBMS1	-0.01725
ZNF445	-0.2625
NRXN2	-0.4435
PGBD4	-1.06275
UGT2B28	-2.523
WBSCR16	-0.6064
NLRC3	0.070375
ASTL	0.346
ST6GALNAC1	-3.838
ZADH2	0.0285
MLLT4	0.38625
ARL6	0.267
MEF2C	0.1965
CBFA2T3	-0.595
AFF3	1.87685714285714
COG7	-0.140333333333333
MYB	-0.286333333333333
PLXNA3	0.1795
XRCC2	-1.9245
MMS19	0.290625
ST8SIA5	-0.63275
CHPT1	1.89516666666667
KIAA1712	-0.787875
OR6X1	0.6315
ACTR3	0.22
UGCG	1.31433333333333
OR4P4	0.516
ZAP70	-3.22625
LPP	1.05775
ZNF485	1.327
PTPRCAP	-0.69675
IL12RB1	0.84
ATRX	0.5422
CHST8	-1.80725
C14orf109	-0.013
ARV1	0.1335
NMB	-1.09928571428571
COX5A	-0.880833333333333
EIF6	0.22625
MPPED2	-0.275833333333333
SEMG1	-2.5035
CHRDL1	-0.8965
TRAF3IP2	1.684
WNK2	-1.422875
LILRA4	2.36033333333333
LAMA2	4.595
PXT1	1.0315
RLBP1	-4.206
CD300C	0.841
SLTM	-0.0035
FLJ10404	-0.97525
APOBEC3D	-3.95
RENBP	0.651666666666667
ATXN7L1	0.111
NID1	1.7855
TUBGCP3	-0.489375
ITIH5	0.355222222222222
CCDC110	3.88425
C8A	-3.09775
MGC87042	0.168
HOXC13	-0.9875
TFDP2	-1.01875
HCP5	1.33375
POLI	0.7955
UCN	-1.42633333333333
ZNF764	0.0418333333333333
C8orf45	2.9795
FHL3	0.47225
SPATA5L1	-0.998
MMRN2	2.70483333333333
NDST1	0.716
COL20A1	-0.4655
ZNF248	-0.358333333333333
PELP1	-0.158333333333333
MBL2	-2.8995
RNF41	0.446375
C5orf24	0.346625
THOC5	-0.08825
SERINC3	-0.17
RP11-151A6.2	-0.411
CDCP2	-0.01675
HIST1H2AA	0.43825
C11orf75	-0.262833333333333
FKBP7	1.05625
DDOST	0.17425
GPNMB	1.54983333333333
TTF2	-0.9695
KCNT1	0.615166666666667
SLC39A14	-0.797875
NGRN	0.1884
GPR137B	1.8765
MECP2	-0.081125
PSMA1	0.037
C16orf73	-5.82375
TMEM60	-0.420833333333333
CSN3	0.1655
NOS1	0.352
RAB7L1	-0.00450000000000001
YBX2	-0.004
KIAA1166	-0.929875
FUBP3	0.171333333333333
ABCG1	1.5245
ACACA	-0.617
ARL11	0.6091
ATOH1	-0.3385
ODF1	0.2485
CREB3L3	-1.9675
TMEM127	1.13728571428571
DSCAML1	-0.6195
PLN	3.51366666666667
LYPLA1	0.38875
PRDM9	-2.208
SASP	0.46275
PLUNC	0.455333333333333
INTU	0.595
HISPPD1	0.404
LNPEP	-0.1465
YARS2	-0.337333333333333
APCDD1L	-0.74
ZCCHC4	0.5243
FBXO22	-0.464166666666667
TTLL13	0.0465
ZNF669	0.5175
PTGDR	0.9515
DDX27	-0.9525
KIAA0409	0.121333333333333
GJB6	2.3085
ASB8	1.262
PLP2	0.595166666666667
MEPE	1.386
OR10J5	0.788
KRT222P	-0.8645
COQ7	-0.495666666666667
C1orf101	0.50675
RERG	2.4737
CHMP5	-0.117375
THAP11	0.217
ZNF43	0.2765
ZRANB3	0.3285
KRT13	-0.01525
MRPL19	-0.13
RBBP9	0.588
SPATA17	1.10725
BXDC5	0.446833333333333
PAFAH1B1	-0.484666666666667
MAGEE1	0.1635
OSTF1	0.3165
KIAA0323	-0.0541666666666667
TXNDC13	-0.2775
CNTN4	4.025
LCE1B	1.909
UNQ501	-0.77225
ZNF154	2.0575
C3orf64	0.80425
SYT5	-0.1733
PON1	-0.215666666666667
FLJ10357	-0.213
ATP4A	-1.393
GNPDA1	-0.2525
MGAT1	0.611166666666667
C14orf121	-0.3695
SLC35B2	-1.06525
MIER3	0.174666666666667
CHEK1	-0.377
ZNF8	1.5675
TXNDC1	0.1155
CKB	-2.8148
RTN3	0.527428571428571
FZD2	-0.903333333333333
PART1	0.2345
PSMB6	-0.1345
PCDHB8	-0.5265
PHC3	0.7766
PPP1R8	-0.866166666666667
NOVA2	1.78916666666667
TNFRSF11B	-2.394375
GOLPH3	0.884
UBLCP1	0.16325
SUHW3	-1.452
TTLL1	0.99325
OPN4	0.584
OR13G1	0.166
ZPBP2	-0.900833333333333
HSD17B11	-1.406375
C9orf50	-0.262
DHDDS	0.339928571428571
CTSW	1.3461
NEFM	-1.23466666666667
MRPL28	-0.755
SYN1	-0.598833333333333
PIGV	-0.248166666666667
ZIM2	0.107
APBB1	0.277666666666667
SND1	-0.56
C1orf123	0.2665
CHD3	0.353
BHLHB8	-0.03975
RNASE2	0.45
BCAP31	0.337125
SLC25A44	0.114666666666667
CHD6	-0.9091
PIB5PA	2.13115384615385
SELS	0.379
LOC541471	-0.296375
FAT2	0.5315
ZNF81	0.4615
OR4C16	0.569
FLJ10081	-0.193
LRRC4	1.71275
CS	-0.0943333333333333
N4BP2	0.08475
IGFBP7	2.1625
ZNF318	-0.109333333333333
NDNL2	0.48325
ZNF609	-0.05675
SIRT4	0.15125
EXOSC10	0.251
ECE2	-0.0095
OVGP1	0.119
GTPBP3	-1.791
PACS2	0.4574
C19orf36	-1.76566666666667
ARL4C	0.17925
ATG4B	-0.861375
UBQLNL	-0.34675
RHOXF2B	-3.7015
PLEKHG2	-0.704
GALR1	-1.7565
AQP4	0.177666666666667
HDAC7A	-0.5715
DCUN1D3	0.109
OR8A1	-0.951
CCRN4L	0.76725
CBR4	-0.0861666666666667
KIFC1	-2.32816666666667
SLC7A14	-1.707
LHX5	0.2955
TRPC7	0.166
LPXN	-0.9
SERPINA1	-2.466
RPS13	-0.396
BPIL3	-0.4985
PRKAA1	-0.909
FADS2	-1.2682
ENAH	0.9246875
PRO1768	0.1805
APBA2BP	-1.729
LIPH	-0.537333333333333
C3orf33	-0.8085
RCC2	-0.293
ALDH1A2	-3.6079
RNF103	1.64975
AHCY	-0.3225
ALG12	0.5185
CCL17	0.296
ZNF543	2.735
ESRRG	0.2104
CNGA1	0.003
RDH5	-1.65333333333333
OTX1	-0.2892
PTGFR	-1.96183333333333
CDR2	0.5895
SELE	3.59875
NLGN2	-0.719166666666667
EXOSC9	-0.2895
ZNF566	0.829833333333334
KLRC2	-4.9435
GPR12	0.3775
KIAA0196	0.839
PDRG1	-0.81125
SSR3	-0.285357142857143
MSI1	-0.135
CST9	2.2185
CC2D1A	-0.30925
PLAGL1	-0.769588235294118
ZNF778	-0.3945
RNF2	-0.16225
KLF6	0.992833333333333
THBD	2.3435
tcag7.1314	-0.50725
NR5A1	-0.0785
ABCD2	0.14375
DNAJC7	-2.3355
CLEC4C	0.2125
TM2D3	0.5755
CCDC4	-0.1815
PLAC2	1.4515
DCD	0.025
FAAH	1.65625
POLA1	-0.0535
TM7SF2	0.016
FLJ39822	-1.46916666666667
FLOT2	1.023625
MAP4K1	-0.547666666666667
SRP68	-0.153875
C21orf74	-1.0355
ARPC5	-0.16875
LOC126075	1.22025
HECW2	1.32675
ZDHHC4	-0.87725
ANKRD42	1.1882
PDE9A	-0.9535
ABCA8	-0.59125
NDUFS2	0.17325
UBR5	0.436875
BTBD16	-3.097
LOC554174	0.9515
ZNF20	1.7615
KIAA1843	0.3625
WDR17	-1.12675
C15orf33	1.347
RNF113A	-0.44875
CAMKK1	0.5236
CLCN2	-0.476
ANXA6	0.1175
LOC340069	0.2925
EMID1	-0.19325
DPM3	-1.16241666666667
ELA1	-0.385
SLC25A13	-0.9219
KRT24	-0.28725
SMPD1	0.3325
TH	0.408
COL6A2	1.50928571428571
ANKS1B	1.98425
GPR126	-1.3771
ZC3H12A	-0.640833333333333
TMEM47	0.844666666666667
C2orf51	-0.346
C1orf88	0.0161666666666667
HSF2BP	0.93025
AKAP10	0.0775
RPAP3	-0.09
KLHDC8B	1.154625
STOM	1.5834
MUPCDH	-0.236125
C10orf72	0.996875
PLEKHA3	0.149416666666667
TCP11L1	0.34825
CWF19L1	0.79225
SPEF1	0.495692307692308
YSK4	0.0235
ELN	1.1822
SAMD8	0.672
MPI	-0.9385
MEPCE	0.0099
ABCC3	-0.88025
NANOGP1	-2.971
KCNK17	1.626625
HLA-DMB	3.663
RRAGA	0.28225
ANGEL1	-0.069
RBM32B	0.243
CPN1	-3.0625
MGC52282	0.2398
HLA-A	1.11525
OR9G4	0.5995
EDNRB	-2.557125
SCD	0.217214285714286
C14orf80	-0.684333333333333
BAGE2	0.4165
RABL4	1.4765
RCVRN	-0.4875
SHANK1	0.256
NLRP7	-3.59275
CD226	1.6965
STAT3	0.5776875
SYNJ2	-0.127
TPCN2	0.153833333333333
WDR36	-1.15575
MBD4	-0.48125
ROBO1	-0.737
ST3GAL6	-2.30975
SLAMF8	3.39266666666667
ATN1	-0.0758333333333333
GPR141	1.09633333333333
KRT36	0.5605
TPH1	0.145
DDX52	-0.30425
ZSCAN29	-0.5865
TRPT1	-0.5685
DPEP3	0.4065
DENND4A	-0.196625
TSPAN16	-0.685
PTCHD2	-1.023
LOC145814	-0.36025
CAP1	0.7745
EIF5A2	0.0153
NT5DC3	-0.97
SEPT9	-0.888875
SEZ6L2	-1.60125
EGFLAM	3.59075
VPS11	1.033625
NDUFB5	-0.317833333333333
CIDEA	0.124
IER5L	0.3835
N6AMT1	0.2525
FAM83C	-0.521
OXR1	0.879416666666667
IRX1	0.198
DGKB	-1.47683333333333
GCN5L2	-2.3065
MIR16	0.065
FBXW9	0.562
WDR4	-1.51683333333333
PDC	0.033
VPS33B	-0.16975
HEXB	0.00375
FLJ32214	-0.14275
TCEB3	-0.5925
CRLF1	-2.5825
ABI3BP	-0.59825
C8orf22	-4.1035
PYCR1	0.005
KIAA1706	0.00775000000000001
CDK5R2	-0.174625
WAS	0.259
C12orf60	-0.56875
CCBL2	0.291875
MADD	-0.5345
C5orf34	-1.4245
WDR42A	0.1481
KLF12	-0.680125
HSPA1A	1.48425
ITM2C	-0.878833333333333
DAPK2	0.566666666666667
LOC442590	0.0735
SUMF2	-0.7735
CENPA	-0.817307692307692
TMED5	-0.17575
CDH6	-0.6946
BRP44	-0.296375
THG1L	0.3785
GABRA2	-2.04825
C14orf166	-0.12925
MYL1	-1.8675
TNFSF18	0.326
PAP2D	-1.10566666666667
PPIB	0.06025
KLHL4	-0.219625
SFN	-0.264333333333333
CCDC127	0.04225
FRAP1	0.6325
GOLGA5	0.51975
SDCCAG1	-0.2785
MGC21675	-0.195166666666667
C10orf95	-0.9875
KIAA1345	-0.199833333333333
C1orf163	-0.845
LACE1	-0.140333333333333
OR10K2	-0.3255
CENPN	-0.92776
TMED2	0.77325
UGT1A6	-1.893
ANG	-2.52825
U2AF1	-0.878666666666667
CASC2	0.943666666666667
NMT2	-0.4325
OSGEPL1	-0.399
DFNB31	-0.535
SLC6A20	0.255125
DKC1	-0.34875
FXYD4	-1.459
WDR64	0.134
MGC5590	0.539
CREBZF	-0.2385
DAZ1	-0.25
PRPSAP1	-0.31175
GCHFR	-0.97475
TTC7A	-0.412125
LOC196993	1.7535
UBD	0.3675
S100A1	-1.300125
RPL6	0.407833333333333
DNAJB6	-0.2022
NAGS	-0.1482
C2orf58	0.2975
KERA	1.73966666666667
MT1X	-0.9285
UBE2B	0.9192
KEAP1	0.1415
MST1	-3.695875
OMA1	0.214
ABLIM2	1.546
BCL2L13	0.0789166666666666
JAZF1	0.281833333333333
TMEM63B	1.3085
S100A8	-0.084
ARFIP2	0.69025
UROS	0.93275
KHDRBS2	-1.481
POLQ	-1.335875
SOAT1	-1.27225
SPAG4	-1.2305
MRPS30	0.197166666666667
LOC494141	-0.59925
OR2T11	0.4285
ORAOV1	0.1553
ZNF184	-0.0438333333333333
TCEB3B	-0.0534
ADAM21	-0.126
GDPD1	0.33
SPINLW1	0.6225
PRR14	0.124166666666667
KCTD9	-0.0468
NUDT3	0.61775
KIAA1822	1.2215
HIST1H4K	0.324
DFNA5	-0.83175
GABPA	0.345
C14orf44	1.33475
POLB	1.0185
PTAR1	-0.633
SEC31A	0.7462
TRIM58	-0.67025
TAS2R14	-0.7265
VPS8	0.87075
H1F0	-0.412666666666667
PRKCB1	-3.413
UGT2A1	0.388
TOR1B	-0.1445
LSS	-0.591833333333333
C2orf19	-0.07
HNRNPC	-0.0567857142857143
TMEM100	-3.18666666666667
LOC116349	-0.656
OR51M1	0.866
CCDC142	-1.2795
ISG15	0.7366875
ZCCHC14	-0.291625
CREBL2	0.708125
TGDS	-1.7995
DC2	0.043
CACNA2D3	-1.99735714285714
ZNF429	-0.154125
LYPD6	-0.328
SUCLG1	0.3355
OR51I1	-1.4025
MAGEH1	1.71925
PRPF40A	-1.013
SMR3A	0.2075
SPINK2	-2.326
THAP2	0.568625
NPY5R	-0.471375
IRF4	-2.4535
SPESP1	-0.990833333333333
OR10S1	0.176
DTD1	-0.93525
TUBE1	-0.63
DDX19A	0.561
PDPN	0.814
TMEM34	0.619333333333333
MGAM	0.0685
COL3A1	5.59222222222222
GFM2	-0.2243
OR5A2	0.3295
PSG9	-0.2925
ARHGEF11	0.437
IVNS1ABP	-0.481125
SIGIRR	0.55575
DUSP19	0.118875
DNAJC14	0.8473
ACSS1	-0.056
IL1RAPL2	0.7135
C4orf30	1.0615
SEPT4	2.9115
LANCL3	-1.20975
SPAG17	1.23683333333333
PRDX3	1.275625
HNF1A	-2.008125
P4HA2	-0.04675
RFWD3	-0.497
MOV10	0.0585
DNAJA5	0.896785714285714
LOC729440	0.63925
LOC200383	1.79525
SMC2	-1.038
MIXL1	-1.26716666666667
TMEM9	-0.3245
FAM86A	0.784
ZNF174	0.4671
MYH14	-0.575
CCR8	0.63525
VPS37C	1.1065
GPATCH1	0.0531666666666667
B3GNT8	1.373
TBX4	-0.3345
CNR2	0.294166666666667
PCDH1	1.60025
C5orf29	3.70125
OCIAD2	0.0425
PLCG2	-0.07125
KIAA0247	1.8275
HRH3	0.2486
CAPN13	1.56525
CCR1	0.2049
MGC15523	-0.676
UVRAG	1.29183333333333
DNAJA2	0.281166666666667
ITGA2B	-0.556166666666667
CLDN5	2.731125
PTPRN2	-1.79342857142857
ZNF512	-0.0378333333333333
PSAP	0.801285714285714
CCDC140	-1.863
LRRC55	0.33525
CYP26C1	0.568
C8orf47	-0.95025
LYN	-0.20475
DUSP6	-0.705833333333333
TGFB3	3.08886666666667
ELK1	0.3203
PCDH11Y	-0.480333333333333
HGD	1.4195
C17orf58	0.592
MYO3A	-0.12
SERPINE2	-4.8235
AARSD1	-0.3705
C14orf73	-1.713
ADAM33	0.019
ZNF491	0.783
MAPK6	-0.363666666666667
TCN1	0.915666666666667
SLC24A6	0.961
UBE2R2	0.31525
H1FNT	-0.19325
TATDN2	0.0648333333333334
LILRB1	2.49775
P2RY5	0.4205
NUCB2	0.83925
C2orf37	-0.03525
SNX27	1.07533333333333
MTA3	-0.122625
FOXO4	-0.356875
ID4	-0.145333333333333
SOX5	-3.14766666666667
PXMP3	0.667875
OR52M1	0.062
SFT2D3	-0.07125
INA	-3.55116666666667
MCOLN1	0.3045
NFIX	-0.8285
CLEC14A	5.13983333333333
HIBCH	-1.06733333333333
PLA2G5	1.70075
TIMM10	-1.05033333333333
MED17	-0.4956
COL4A4	-1.408
TPP1	0.4835
GJA3	-0.163
TMPRSS5	-2.05575
AADACL3	0.285
DNMBP	0.5285
ENPP5	2.02133333333333
NQO1	-1.5011
ZSCAN2	-0.123
SEC24C	1.067
GTF2A1L	2.5815
AXIN2	-0.7746
FAM33A	-0.71675
C16orf13	-0.77675
SPNS2	0.97475
TAF1	0.21925
AP1G2	0.172666666666667
RBM42	-0.528333333333333
HCN2	-1.321
EFHB	-0.1175
RUSC1	0.587
GRIK5	0.714
USP21	-0.0128333333333333
ATAD3C	-0.1515
ORMDL2	-0.074375
PRSS7	-3.937
PSAT1	-3.98275
FLJ13195	-0.7595
TBC1D1	0.3185
IFNG	2.863
OTOS	0.343
ZNF773	1.78583333333333
EMD	-1.1905
RETN	3.3545
CCL8	4.9695
APH1A	0.9365
COX18	-0.066625
GTF2IRD2	-0.10375
CCDC82	-1.24383333333333
PAFAH2	1.5482
NPEPL1	-0.5541
RP11-114G1.1	-0.258
TP53INP1	1.93825
ZNF300	-1.64916666666667
FOXL2	-3.63125
LARP2	0.464083333333333
LATS1	0.75575
HTR6	0.421
SPOCK2	-0.287166666666667
RNF144B	3.54066666666667
HTATIP2	-0.46275
MGC10334	0.0636666666666667
CENTA2	1.992
FGF2	-2.9375
FXYD7	1.028
PHYHIPL	-2.303625
GPR34	6.09275
DDX6	0.2195
OR10W1	0.4795
LHFPL1	-1.628
ZNF313	-1.08471428571429
VPS28	0.286
AP3M1	0.9842
AKR1CL2	-0.717
TRAF4	0.33
OR2B11	0.2735
C19orf12	-0.0525
AKAP9	-0.230333333333333
C1orf62	-0.78775
SLC20A1	-0.0935
FAM112A	0.02475
LDB2	0.881625
MRPS23	0.1225
KLK5	4.075375
SPTB	-0.7313
EFEMP2	1.47625
EFNB2	2.14475
PCM1	0.752357142857143
NMNAT3	0.085625
TSG101	0.524333333333333
C8orf40	0.785
NOB1	-0.7535
ABHD3	-1.36225
GTF3C4	-0.2245
PIGN	0.9875
GALNTL1	-1.735
AEBP1	2.8935
OR9Q1	0.9105
ANKRD2	0.070375
CCL28	-1.4515
TRIM38	0.250666666666667
TMCC1	0.116083333333333
SMG5	-0.63575
LRRC7	-1.6055
NCAPD2	-0.857666666666667
C6orf153	-0.79
C1orf74	0.16175
OTUD6A	0.1655
DCP2	0.140166666666667
TMEM24	0.07375
RPL18	0.880666666666667
TMEM177	-1.1105
LRRC37A3	0.015
C1D	-0.816333333333333
LDHC	-0.4035
UBE4B	0.192
NIT1	-0.337875
BTN3A3	0.631375
RASD1	0.668
COMMD3	0.89675
SHFM1	-0.67675
BIRC8	-0.1615
DUT	-1.065
C12orf51	0.251
LRRC59	0.0448333333333333
LY6H	0.97175
WDR22	0.573916666666667
EDEM1	-0.4525
ADH1A	0.6425
PANX2	-0.6114
CYP11B1	0.7615
CDC73	0.1055
GPR172A	-0.22575
GSTM3	1.40884615384615
KCNA5	-0.064375
SERAC1	1.21716666666667
NFATC2	0.159
ANAPC5	-0.8928
C15orf24	-0.31
NFATC2IP	-0.05525
TNRC6C	0.6665
MGC102966	0.199
FGD5	1.11566666666667
MED9	-0.0755
RAB13	0.340666666666667
C15orf49	-0.0485
CRYGS	-1.6091
C12orf53	-0.9627
LOC283693	-0.036
COX6B2	0.552
PHF14	0.0845
FAM3A	-0.425625
RPL13	-0.6422
PRDX2	0.2052
FLJ34047	-2.09
PRMT3	-0.3365
KCTD19	-2.6525
TRIM10	-1.07716666666667
MGC26597	-0.873166666666667
GCNT4	0.489
GPRASP1	0.362
CDKN1C	-1.30091666666667
RHBDL2	0.8924
HSPH1	0.466
AQP1	2.116
COL17A1	1.0552
GFAP	0.9045
CDC16	-0.27225
KIAA1614	0.369
C6orf118	-0.662333333333333
ZSWIM5	-2.1075
FAM83F	3.0745
LYNX1	-0.339125
SYNPR	-1.60775
XG	3.36683333333333
